Week,Book of Mormon highlights
1,Introduction to the Book of Mormon
2,"1 Nephi 1:1–3, 18–20; 2:2–4; 3:2–7; 4:1–18"
3,"1 Nephi 8:2, 5–33"
4,"1 Nephi 16:9–10, 16–19, 23, 26, 28–32; Alma 37:38–46"
5,"1 Nephi 17:8–11, 16–19, 49–55; 18:1–4"
6,"2 Nephi 2:11–13, 22–27; 4:15–16; 31:5–8, 17–21"
7,2 Nephi 32:3–9; Jacob 7:1–20
8,Enos 1:1–13
9,"Mosiah 1:9–10, 18; 2:1–2, 5–8, 16–19; 3:17, 19; 4:9–10; 5:15"
10,"Mosiah 11:1–2, 20, 27–29; 12:1, 9, 14, 17–19, 35–36; 13:15–24"
11,"Mosiah 17:1–12, 20"
12,Mosiah 18:1–17
13,"Mosiah 21:1–15, 23–24"
14,Mosiah 21:29–35; 22
15,"Mosiah 23:1–7, 19–26, 36–39"
16,"Mosiah 24:8–25; 25:1, 14–19"
17,"Mosiah 27:6–24; Alma 36:11–12, 16–24"
18,Mosiah 27:32–37; 28:1–9
19,Alma 1:2–15; 2:1–9
20,"Alma 2:10–18, 29–31; 5:1, 19, 26–27, 33"
21,Alma 6:7–8; 7:9–12; 8:1–22
22,"Alma 8:23–32; 9:1–8, 14–15"
23,Alma 10:27–32; 11:21–46
24,Alma 12:1–7; 14:1–17
25,Alma 14:18–29; 15:1–13
26,"Alma 17:1–3, 12–13, 17–39"
27,"Alma 18:1–4, 8–35"
28,"Alma 18:40–43; 19:1–2, 8–15, 18–19, 22–33"
29,Alma 20:1–28
30,"Alma 23:6–7, 16–18; 24:1–7, 16–27; 27:2–5, 14, 27–29"
31,"Alma 30:6–9, 12–14, 31–32, 35–39, 43–45, 49–50, 55–59"
32,"Alma 31:1, 5–7, 12–21, 37–38; 32:1, 5–6"
33,Alma 32:26–43
34,"Alma 37:3, 6, 8–11, 14–15; 43:1–9, 16–17, 43–47; 44:16–20"
35,"Alma 46:1–5, 11–16, 19–20; 48:7–13, 22–23; 49:25–26, 28"
36,"Alma 50:25–36; 51:5–6, 11, 13–16, 20–22"
37,"Alma 53:10–21; 56:2–11, 43–48, 55–56"
38,Helaman 2:2–11; 5:4–13
39,Helaman 5:20–50
40,"Helaman 6:18–23; 7:6–13, 26–29; 8:1, 4, 10, 25–28"
41,Helaman 9:1–24
42,Helaman 9:25–39; 10:1–6
43,Helaman 13:1–7; 14:2–8; 16:1–3; 3 Nephi 1:4–9
44,"3 Nephi 1:10–15, 21–23; 2:1–2; 8:2–7, 23; 9:1–2, 18–22"
45,"3 Nephi 11:1–17, 23–26"
46,3 Nephi 17:1–24
47,"3 Nephi 18:1–9, 19–21, 24, 35–39"
48,3 Nephi 19:11–26; 20:1; 27:1–8
49,"3 Nephi 28:1–9; 4 Nephi 1:1, 15, 23–26; Mormon 1:1, 11–17"
50,"Mormon 2:1–2, 9, 23–24, 26–27; 3:2–3, 16–22"
51,"Ether 1:1, 33; 2:5, 16–25; 3:1, 4–14"
52,Moroni 10:3–23
