Week,Readings
1,"Introduction to the Book of Mormon, 1 Nephi 1–6"
2,1 Nephi 7–11
3,1 Nephi 12–15
4,1 Nephi 16–18
5,1 Nephi 19–22
6,2 Nephi 1–4
7,2 Nephi 5–9
8,2 Nephi 10–13
9,2 Nephi 14–21
10,2 Nephi 22–26
11,2 Nephi 27–31
12,2 Nephi 32–Jacob 4
13,Jacob 5–7
14,"Enos, Jarom, Omni, Words of Mormon"
15,Mosiah 1–3
16,Mosiah 4–8
17,Mosiah 9–14
18,Mosiah 15–19
19,Mosiah 20–25
20,Mosiah 26–29
21,Alma 1–3
22,Alma 4–7
23,Alma 8–11
24,Alma 12–14
25,Alma 15–18
26,Alma 19–22
27,Alma 23–27
28,Alma 28–31
29,Alma 32–35
30,Alma 36–39
31,Alma 40–43
32,Alma 44–47
33,Alma 48–51
34,Alma 52–55
35,Alma 56–59
36,Alma 60–63
37,Helaman 1–5
38,Helaman 6–8
39,Helaman 9–13
40,Helaman 14–3 Nephi 1
41,3 Nephi 2–6
42,3 Nephi 7–11
43,3 Nephi 12–16
44,3 Nephi 17–20
45,3 Nephi 21–27
46,3 Nephi 28–Mormon 1
47,Mormon 2–6
48,Mormon 7–Ether 2
49,Ether 3–7
50,Ether 8–12
51,Ether 13–Moroni 6
52,Moroni 7–10
