Week,Readings
1,"Introduction to the Doctrine and Covenants, D&C 1"
2,D&C 2–D&C 6
3,D&C 7–10
4,D&C 11–17
5,D&C 18–19
6,D&C 20–23
7,D&C 24–28
8,D&C 29–33
9,D&C 34–38
10,D&C 39–42
11,D&C 43–44
12,D&C 45–46
13,D&C 47–50
14,D&C 51–56
15,D&C 57–58
16,D&C 59–62
17,D&C 63–64
18,D&C 65–69
19,D&C 70–75
20,D&C 76
21,D&C 77–81
22,D&C 82–84
23,D&C 85–87
24,D&C 88
25,D&C 89–90
26,D&C 91–95
27,D&C 96–98
28,D&C 99–101
29,D&C 102–103
30,D&C 104
31,D&C 105–107
32,D&C 108–109
33,D&C 110–111
34,D&C 112–118
35,D&C 119–123
36,D&C 124
37,D&C 125–126
38,D&C 127–128
39,D&C 129–132
40,D&C 133
41,D&C 134–136
42,D&C 137–138
43,"Official Declaration 1, Official Declaration 2"
44,"Pearl of Great Price introduction, Moses 1–3"
45,Moses 4–5
46,Moses 6
47,Moses 7–8
48,Abraham 1–3
49,Abraham 4–5
50,Joseph Smith—Matthew 
51,Joseph Smith—History 1:1–34
52,"Joseph Smith—History 1:35–75, Articles of Faith"
