Track,Date,Reading
Book of Mormon,Jan 1,1 Nephi 1
Book of Mormon,Jan 2,1 Nephi 2
Book of Mormon,Jan 3,1 Nephi 3
Book of Mormon,Jan 4,1 Nephi 3
Book of Mormon,Jan 5,1 Nephi 4
Book of Mormon,Jan 6,1 Nephi 4
Book of Mormon,Jan 7,1 Nephi 6
Book of Mormon,Jan 8,1 Nephi 7
Book of Mormon,Jan 9,1 Nephi 8
Book of Mormon,Jan 10,1 Nephi 8
Book of Mormon,Jan 11,1 Nephi 10
Book of Mormon,Jan 12,1 Nephi 10
Book of Mormon,Jan 13,1 Nephi 11
Book of Mormon,Jan 14,1 Nephi 11
Book of Mormon,Jan 15,1 Nephi 12
Book of Mormon,Jan 16,1 Nephi 13
Book of Mormon,Jan 17,1 Nephi 13
Book of Mormon,Jan 18,1 Nephi 14
Book of Mormon,Jan 19,1 Nephi 14
Book of Mormon,Jan 20,1 Nephi 15
Book of Mormon,Jan 21,1 Nephi 15
Book of Mormon,Jan 22,1 Nephi 16
Book of Mormon,Jan 23,1 Nephi 16
Book of Mormon,Jan 24,1 Nephi 16
Book of Mormon,Jan 25,1 Nephi 17
Book of Mormon,Jan 26,1 Nephi 17
Book of Mormon,Jan 27,1 Nephi 17
Book of Mormon,Jan 28,1 Nephi 18
Book of Mormon,Jan 29,1 Nephi 19
Book of Mormon,Jan 30,1 Nephi 19
Book of Mormon,Jan 31,1 Nephi 20
Book of Mormon,Feb 1,1 Nephi 20
Book of Mormon,Feb 2,1 Nephi 21
Book of Mormon,Feb 3,1 Nephi 22
Book of Mormon,Feb 4,1 Nephi 22
Book of Mormon,Feb 5,2 Nephi 1
Book of Mormon,Feb 6,2 Nephi 1
Book of Mormon,Feb 7,2 Nephi 2
Book of Mormon,Feb 8,2 Nephi 2
Book of Mormon,Feb 9,2 Nephi 2
Book of Mormon,Feb 10,2 Nephi 3
Book of Mormon,Feb 11,2 Nephi 4
Book of Mormon,Feb 12,2 Nephi 4
