Week,Readings
1.0,1 Nephi 1; 1 Nephi 2; 1 Nephi 3; 1 Nephi 3; 1 Nephi 4; 1 Nephi 4; 1 Nephi 6
2.0,1 Nephi 7; 1 Nephi 8; 1 Nephi 8; 1 Nephi 10; 1 Nephi 10; 1 Nephi 11; 1 Nephi 11
3.0,1 Nephi 12; 1 Nephi 13; 1 Nephi 13; 1 Nephi 14; 1 Nephi 14; 1 Nephi 15; 1 Nephi 15
4.0,1 Nephi 16; 1 Nephi 16; 1 Nephi 16; 1 Nephi 17; 1 Nephi 17; 1 Nephi 17; 1 Nephi 18
5.0,1 Nephi 19; 1 Nephi 19; 1 Nephi 20; 1 Nephi 20; 1 Nephi 21; 1 Nephi 22; 1 Nephi 22
6.0,2 Nephi 1; 2 Nephi 1; 2 Nephi 2; 2 Nephi 2; 2 Nephi 2; 2 Nephi 3; 2 Nephi 4
7.0,2 Nephi 4; 2 Nephi 5; 2 Nephi 5; 2 Nephi 6; 2 Nephi 7; 2 Nephi 8; 2 Nephi 9
8.0,2 Nephi 9; 2 Nephi 9; 2 Nephi 9; 2 Nephi 10; 2 Nephi 10; 2 Nephi 12; 2 Nephi 13
9.0,2 Nephi 14; 2 Nephi 15; 2 Nephi 17; 2 Nephi 18; 2 Nephi 19; 2 Nephi 20; 2 Nephi 21
10.0,2 Nephi 23; 2 Nephi 24; 2 Nephi 25; 2 Nephi 25; 2 Nephi 25; 2 Nephi 26; 2 Nephi 26
11.0,2 Nephi 27; 2 Nephi 27; 2 Nephi 28; 2 Nephi 28; 2 Nephi 29; 2 Nephi 30; 2 Nephi 31
12.0,2 Nephi 31; 2 Nephi 32; Jacob 1; Jacob 1; Jacob 2; Jacob 2; Jacob 4
13.0,Jacob 4; Jacob 5; Jacob 5; Jacob 5; Jacob 5; Jacob 5; Jacob 7
14.0,Jacob 7; Enos 1; Enos 1; Jarom 1; Omni 1; Omni 1; Words of Mormon 1
15.0,Mosiah 1; Mosiah 1; Mosiah 2; Mosiah 2; Mosiah 2; Mosiah 3; Mosiah 3
16.0,Mosiah 4; Mosiah 4; Mosiah 5; Mosiah 7; Mosiah 7; Mosiah 8; Mosiah 8
17.0,Mosiah 9; Mosiah 10; Mosiah 11; Mosiah 11; Mosiah 12; Mosiah 13; Mosiah 14
18.0,Mosiah 15; Mosiah 15; Mosiah 16; Mosiah 17; Mosiah 18; Mosiah 18; Mosiah 19
19.0,Mosiah 20; Mosiah 21; Mosiah 21; Mosiah 22; Mosiah 23; Mosiah 24; Mosiah 25
20.0,Mosiah 25; Mosiah 26; Mosiah 26; Mosiah 27; Mosiah 27; Mosiah 28; Mosiah 29
21.0,Mosiah 29; Alma 1; Alma 1; Alma 2; Alma 2; Alma 3; Alma 3
22.0,Alma 4; Alma 5; Alma 5; Alma 5; Alma 5; Alma 6; Alma 7
23.0,Alma 8; Alma 8; Alma 9; Alma 9; Alma 10; Alma 10; Alma 11
24.0,Alma 11; Alma 12; Alma 12; Alma 13; Alma 13; Alma 14; Alma 14
25.0,Alma 15; Alma 16; Alma 16; Alma 17; Alma 17; Alma 18; Alma 18
26.0,Alma 19; Alma 19; Alma 20; Alma 21; Alma 21; Alma 22; Alma 22
27.0,Alma 23; Alma 24; Alma 24; Alma 25; Alma 26; Alma 26; Alma 27
28.0,Alma 27; Alma 28; Alma 30; Alma 30; Alma 30; Alma 30; Alma 31
29.0,Alma 31; Alma 32; Alma 32; Alma 33; Alma 34; Alma 34; Alma 35
30.0,Alma 36; Alma 36; Alma 37; Alma 37; Alma 37; Alma 39; Alma 39
31.0,Alma 40; Alma 41; Alma 41; Alma 42; Alma 43; Alma 43; Alma 43
32.0,Alma 44; Alma 44; Alma 45; Alma 46; Alma 46; Alma 47; Alma 47
33.0,Alma 48; Alma 48; Alma 49; Alma 49; Alma 50; Alma 50; Alma 51
34.0,Alma 51; Alma 52; Alma 52; Alma 53; Alma 54; Alma 55; Alma 55
35.0,Alma 56; Alma 56; Alma 57; Alma 57; Alma 58; Alma 58; Alma 59
36.0,Alma 60; Alma 60; Alma 61; Alma 62; Alma 62; Alma 63; Alma 63
37.0,Helaman 1; Helaman 1; Helaman 2; Helaman 3; Helaman 3; Helaman 4; Helaman 5
38.0,Helaman 5; Helaman 5; Helaman 6; Helaman 6; Helaman 7; Helaman 8; Helaman 8
39.0,Helaman 9; Helaman 9; Helaman 11; Helaman 11; Helaman 12; Helaman 12; Helaman 13
40.0,Helaman 13; Helaman 14; Helaman 14; Helaman 15; Helaman 16; 3 Nephi 1; 3 Nephi 1
