Title	Given planned earliest start	Given planned earliest end	Notes	Assigned Resources	Additional Title
"Expl. Intro. (to Test.)"	"01/01/2013"	"01/02/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"Expl. Intro. (Test. to end)"	"01/02/2013"	"01/03/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 1:1-3"	"01/03/2013"	"01/04/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 1:4-13"	"01/04/2013"	"01/05/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 1:14-21"	"01/05/2013"	"01/06/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 1:22-31"	"01/06/2013"	"01/07/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 1:32-39"	"01/07/2013"	"01/08/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 2"	"01/08/2013"	"01/09/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 3:1-5"	"01/08/2013"	"01/09/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 3:6-20"	"01/09/2013"	"01/10/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 4"	"01/10/2013"	"01/11/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 5:1-5"	"01/10/2013"	"01/11/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 5:6-22"	"01/11/2013"	"01/12/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 5:23-35"	"01/12/2013"	"01/13/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 6:1-16"	"01/13/2013"	"01/14/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 6:17-37"	"01/14/2013"	"01/15/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 7"	"01/15/2013"	"01/16/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 8"	"01/16/2013"	"01/17/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 9"	"01/17/2013"	"01/18/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 10:1-8"	"01/18/2013"	"01/19/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 10:9-25"	"01/19/2013"	"01/20/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 10:26-40"	"01/20/2013"	"01/21/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 10:41-55"	"01/21/2013"	"01/22/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 10:56-70"	"01/22/2013"	"01/23/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 11:1-12"	"01/23/2013"	"01/24/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 11:13-30"	"01/24/2013"	"01/25/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 12"	"01/25/2013"	"01/26/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 13-14"	"01/26/2013"	"01/27/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 15-16"	"01/27/2013"	"01/28/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 17"	"01/28/2013"	"01/29/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 18:1-9"	"01/29/2013"	"01/30/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 18:10-28"	"01/30/2013"	"01/31/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 18:29-47"	"01/31/2013"	"02/01/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 19:1-12"	"02/01/2013"	"02/02/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 19:13-27"	"02/02/2013"	"02/03/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 19:28-41"	"02/03/2013"	"02/04/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 20:1-12"	"02/04/2013"	"02/05/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 20:13-32"	"02/05/2013"	"02/06/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 20:33-54"	"02/06/2013"	"02/07/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 20:55-71"	"02/07/2013"	"02/08/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 20:72-84"	"02/08/2013"	"02/09/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
