Week,Readings
1.0,Expl. Intro. (to Test.); Expl. Intro. (Test. to end); D&C 1:1-3; D&C 1:4-13; D&C 1:14-21; D&C 1:22-31; D&C 1:32-39
2.0,D&C 2; D&C 3:1-5; D&C 3:6-20; D&C 4; D&C 5:1-5; D&C 5:6-22; D&C 5:23-35; D&C 6:1-16; D&C 6:17-37
3.0,D&C 7; D&C 8; D&C 9; D&C 10:1-8; D&C 10:9-25; D&C 10:26-40; D&C 10:41-55
4.0,D&C 10:56-70; D&C 11:1-12; D&C 11:13-30; D&C 12; D&C 13-14; D&C 15-16; D&C 17
5.0,D&C 18:1-9; D&C 18:10-28; D&C 18:29-47; D&C 19:1-12; D&C 19:13-27; D&C 19:28-41; D&C 20:1-12
6.0,D&C 20:13-32; D&C 20:33-54; D&C 20:55-71; D&C 20:72-84; D&C 21:1-3; D&C 21:4-12; D&C 22-23
7.0,D&C 24:1-8; D&C 24:9-19; D&C 25-26; D&C 27:1-7; D&C 27:8-18; D&C 28; D&C 29:1-10
8.0,D&C 29:11-22; D&C 29:23-36; D&C 29:37-50; D&C 30; D&C 31; D&C 32; D&C 33
9.0,D&C 34; D&C 35:1-10; D&C 35:11-27; D&C 36-37; D&C 38:1-12; D&C 38:13-29; D&C 38:30-42
10.0,D&C 39:1-10; D&C 39:11-24; D&C 40; D&C 41; D&C 42:1-8; D&C 42:9-27; D&C 42:28-39
11.0,D&C 42:40-60; D&C 42:61-76; D&C 42:77-93; D&C 43:1-8; D&C 43:9-22; D&C 43:23-35; D&C 44
12.0,D&C 45:1-11; D&C 45:12-33; D&C 45:34-56; D&C 45:57-75; D&C 46:1-6; D&C 46:7-15; D&C 46:16-33
13.0,D&C 47-48; D&C 49:1-8; D&C 49:9-28; D&C 50:1-11; D&C 50:12-30; D&C 50:31-46; D&C 51:1-5
14.0,D&C 51:6-20; D&C 52:1-9; D&C 52:10-27; D&C 52:28-44; D&C 53-54; D&C 55; D&C 56:1-8
15.0,D&C 56:9-20; D&C 57; D&C 58:1-7; D&C 58:8-24; D&C 58:25-41; D&C 58:42-55; D&C 58:56-65
16.0,D&C 59; D&C 60:1-6; D&C 60:7-17; D&C 61:1-9; D&C 61:10-24; D&C 61:25-39; D&C 62
17.0,D&C 63:1-11; D&C 63:12-29; D&C 63:30-49; D&C 63:50-66; D&C 64:1-11; D&C 64:12-24; D&C 64:25-43
18.0,D&C 65; D&C 66; D&C 67; D&C 68:1-7; D&C 68:8-21; D&C 68:22-35; D&C 69
19.0,D&C 70; D&C 71; D&C 72:1-11; D&C 72:12-26; D&C 73-74; D&C 75:1-9; D&C 75:10-21
20.0,D&C 75:22-36; D&C 76:1-8; D&C 76:9-24; D&C 76:25-43; D&C 76:44-62; D&C 76:63-82; D&C 76:83-103
21.0,D&C 76:104-119; D&C 77:1-12; D&C 77:13-23; D&C 78:1-8; D&C 78:9-22; D&C 79-80; D&C 81
22.0,D&C 82:1-10; D&C 82:11-24; D&C 83; D&C 84:1-11; D&C 84:12-30; D&C 84:31-50; D&C 84:51-74
23.0,D&C 84:75-91; D&C 84:92-106; D&C 84:107-120; D&C 85:1-5; D&C 85:6-12; D&C 86; D&C 87
24.0,D&C 88:1-5; D&C 88:6-24; D&C 88:25-40; D&C 88:41-58; D&C 88:59-74; D&C 88:75-87; D&C 88:88-99
25.0,D&C 88:100-112; D&C 88:113-127; D&C 88:128-141; D&C 89:1-7; D&C 89:8-21; D&C 90:1-14; D&C 90:15-37
26.0,D&C 91-92; D&C 93:1-14; D&C 93:15-36; D&C 93:37-53; D&C 94; D&C 95:1-7; D&C 95:8-17
27.0,D&C 96; D&C 97:1-10; D&C 97:11-28; D&C 98:1-5; D&C 98:6-21; D&C 98:22-34; D&C 98:35-48
28.0,D&C 99; D&C 100; D&C 101:1-10; D&C 101:11-32; D&C 101:33-51; D&C 101:52-66; D&C 101:67-83
29.0,D&C 101:84-101; D&C 102:1-4; D&C 102:5-13; D&C 102:14-24; D&C 102:25-36; D&C 103:1-10; D&C 103:11-26
30.0,D&C 103:27-40; D&C 104:1-8; D&C 104:9-25; D&C 104:26-41; D&C 104:42-58; D&C 104:59-72; D&C 104:73-86
31.0,D&C 105:1-10; D&C 105:11-26; D&C 105:27-41; D&C 106; D&C 107:1-9; D&C 107:10-22; D&C 107:23-35
32.0,D&C 107:36-52; D&C 107:53-71; D&C 107:72-84; D&C 107:85-100; D&C 108; D&C 109:1-10; D&C 109:11-25
33.0,D&C 109:26-40; D&C 109:41-54; D&C 109:55-70; D&C 109:71-80; D&C 110:1-6; D&C 110:7-16; D&C 111
34.0,D&C 112:1-14; D&C 112:15-34; D&C 113-114; D&C 115:1-8; D&C 115:9-19; D&C 116-117; D&C 118
35.0,D&C 119-120; D&C 121:1-12; D&C 121:13-31; D&C 121:32-46; D&C 122; D&C 123:1-7; D&C 123:8-17
36.0,D&C 124:1-3; D&C 124:4-16; D&C 124:17-26; D&C 124:27-39; D&C 124:40-51; D&C 124:52-63; D&C 124:64-74
37.0,D&C 124:75-86; D&C 124:87-96; D&C 124:97-109; D&C 124:110-122; D&C 124:123-135; D&C 124:136-145; D&C 125-126
38.0,D&C 127:1-2; D&C 127:3-12; D&C 128:1-4; D&C 128:5-9; D&C 128:10-16; D&C 128:17-20; D&C 128:21-25
39.0,D&C 129; D&C 130:1-9; D&C 130:10-23; D&C 131; D&C 132:1-7; D&C 132:8-18; D&C 132:19-26
40.0,D&C 132:27-38; D&C 132:39-49; D&C 132:50-59; D&C 132:60-66; D&C 133:1-8; D&C 133:9-24; D&C 133:25-42
41.0,D&C 133:43-56; D&C 133:57-74; D&C 134:1-6; D&C 134:7-12; D&C 135:1-3; D&C 135:4-7; D&C 136:1-10
42.0,D&C 136:11-29; D&C 136:30-42; D&C 137; D&C 138:1-8; D&C 138:9-22; D&C 138:23-34; D&C 138:35-48
43.0,D&C 138:49-60; Off. Dec. 1 (to Excerpt); Off. Dec. 1 (Excerpts to end); Off. Dec. 2; PoGP-Introductory Note; Moses 1:1-8; Moses 1:9-17
44.0,Moses 1:18-25; Moses 1:26-35; Moses 1:36-42; Moses 2:1-16; Moses 2:17-31; Moses 3:1-9; Moses 3:10-25
45.0,Moses 4:1-16; Moses 4:17-32; Moses 5:1-9; Moses 5:10-21; Moses 5:22-34; Moses 5:35-47; Moses 5:48-59
